TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
pos7801,positive,361.0913,Benzenoids,Benzoic acids and derivatives,Uncertain,Uncertain,Dihydroflavonols
pos7805,positive,270.2064,Organic acids and derivatives,Uncertain,Amino acids,Terpenoids,Bisabolane sesquiterpenoids
pos7806,positive,445.3692,Lipids and lipid like molecules,Steroidal alkaloids,Steroidal alkaloids,Terpenoids,NA
pos7807,positive,473.3623,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos7808,positive,449.3631,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Cholestane steroids
pos7809,positive,132.1019,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,norleucine
pos7814,positive,287.1488,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Uncertain,Phenylethanoids
pos7815,positive,267.1224,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,Macrolide lactones
pos7818,positive,290.0868,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Alkaloids,7 pentofuranosyl 7h purin 6 amine
pos7819,positive,306.1186,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,Lactosamine
pos7820,positive,306.171,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Polyketides,Phenol 4 4 propylidenebis+AFs-2 methoxy 
pos7821,positive,471.3733,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Fatty acids,NA
pos7824,positive,458.3705,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,NA
pos7825,positive,496.3637,Organic nitrogen compounds,Amines,Uncertain,Uncertain,NA
pos7828,positive,265.1798,Uncertain,Uncertain,Uncertain,Fatty acids,11 Ketotetranor pgf metabolite guinea pig
pos7833,positive,484.3788,Lipids and lipid like molecules,Uncertain,Steroids and steroid derivatives,Terpenoids,Serratane triterpenoids
pos7849,positive,518.3484,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7851,positive,467.3153,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
pos7856,positive,481.3315,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7857,positive,557.3478,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,globostellatic acid C
pos7860,positive,451.3209,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos7866,positive,646.4346,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos7868,positive,249.1114,Organic acids and derivatives,Uncertain,Vinylogous acids,Polyketides,Isocoumarins
pos7872,positive,481.3322,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7875,positive,349.2578,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,sativic acid
pos7879,positive,518.3481,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7883,positive,483.3105,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos7885,positive,497.3256,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,NA
pos7887,positive,518.3488,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Uncertain,Ursane and Taraxastane triterpenoids
pos7888,positive,557.3476,Lipids and lipid like molecules,Oxosteroids,3 oxosteroids,Terpenoids,NA
pos7889,positive,409.2742,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,(4aR 4bR 6aR 11aR 11bS 13aR) 1 1 4a 6a 9 11b hexamethyl 3 4 4b 5 6 11 11a 12 13 13a decahydroindeno+AFs-2 1 a+AF0-phenanthrene 2 7 10 trione
pos7891,positive,515.2999,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,cucurbitacin
pos7892,positive,347.316,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,1 O 2 Hydroxyheptadecyl rac glycerol
pos7895,positive,351.2899,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
pos7897,positive,318.0978,Organic oxygen compounds,Carbonyl compounds,Uncertain,Alkaloids,4 hydroxyvertixanthone
pos7900,positive,471.3849,Lipids and lipid like molecules,Uncertain,Prenol lipids,Terpenoids,NA
pos7901,positive,393.2836,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,+AFs-(2S 3R 4R 5R) 2 3 4 5 6 pentahydroxyhexyl+AF0- tetradecanoate
pos7902,positive,627.389,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cucurbitane triterpenoids
pos7905,positive,319.284,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,octadecane 1 2 3 4 tetrol
pos7907,positive,279.2682,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,10Z nonadec 10 enoic acid
pos7908,positive,449.3058,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos7913,positive,321.2262,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,2 3 15 16 tetrahydroxyhexadecanoic acid
pos7914,positive,499.3047,Lipids and lipid like molecules,Oxosteroids,3 oxo delta 7 steroids,Terpenoids,cucurbitacin L
pos7915,positive,481.3309,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7918,positive,423.2493,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,Stemona alkaloids
pos7921,positive,516.333,Lipids and lipid like molecules,Triterpenoids,Limonoids,Terpenoids,Apotirucallane triterpenoids
pos7922,positive,541.3525,Lipids and lipid like molecules,Steroid esters,Steroid esters,Terpenoids,Cholestane steroids
pos7925,positive,516.3334,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
pos7926,positive,503.3363,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
pos7927,positive,522.3788,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos7935,positive,500.3391,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
pos7938,positive,545.3464,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cucurbitane triterpenoids
pos7939,positive,541.3522,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos7946,positive,177.091,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Polyketides,methylenolactocin
pos7949,positive,375.2739,Lipids and lipid like molecules,Fatty alcohols,Uncertain,Uncertain,+AFs-(2S 3R 4R 5R) 2 3 4 5 6 pentahydroxyhexyl+AF0- tetradecanoate
pos7950,positive,475.2684,Lipids and lipid like molecules,Uncertain,Lipids and lipid like molecules,Terpenoids,Ecdysteroids
pos7954,positive,286.1644,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Fatty acids,NA
pos7960,positive,519.3306,Lipids and lipid like molecules,Steroid acids,Steroid acids,Terpenoids,Oleanane triterpenoids
pos7961,positive,495.3465,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos7962,positive,421.3153,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Uncertain,Monoacylglycerols
pos7966,positive,513.3576,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,acetoxolone
pos7968,positive,517.3147,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,ganoderic acid
pos7969,positive,541.3528,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cholestane steroids
pos7970,positive,302.2322,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,8 Hexadecenedioic acid
pos7971,positive,500.3385,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos7973,positive,517.3154,Lipids and lipid like molecules,Steroid acids,Steroid acids,Terpenoids,Lupane triterpenoids
pos7979,positive,518.3492,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,Ursane and Taraxastane triterpenoids
pos7981,positive,339.2896,Lipids and lipid like molecules,Uncertain,Uncertain,Fatty acids,Monoacylglycerols
pos7987,positive,459.274,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,NA
pos7988,positive,231.1381,Organoheterocyclic compounds,Uncertain,Lactones,Terpenoids,Eudesmane sesquiterpenoids
pos7994,positive,387.2913,Organic acids and derivatives,Uncertain,Uncertain,Uncertain,NA
pos7999,positive,369.3001,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,ventosic acid
pos8004,positive,307.2475,Organic acids and derivatives,Uncertain,Hydroxy acids and derivatives,Fatty acids,1 Butanol 4 4 +AFs-oxybis(4 1 butanediyloxy)+AF0-bis 
pos8005,positive,347.2789,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,Methoxy fatty acids
pos8006,positive,493.3336,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Uncertain,NA
pos8007,positive,276.2168,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Fatty acids,tetradecanedioic acid
pos8010,positive,247.0961,Organic oxygen compounds,Carbonyl compounds,Aryl alkyl ketones,Polyketides,6 acetyl 7 hydroxy 3 4 8 trimethylchromen 2 one
pos8012,positive,312.1711,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Alkaloids,Simple indole alkaloids
pos8015,positive,307.2998,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Fatty acids,henicos 12 enoic acid
pos8022,positive,435.3323,Lipids and lipid like molecules,Fatty acids and conjugates,Methyl branched fatty acids,Fatty acids,ACMC 20mtru
pos8023,positive,284.2068,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,2 4 diethoxy 6 (1 methylpiperidin 1 ium 1 yl) 1 3 5 triazine
pos8030,positive,311.2945,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,icosenoic acid
pos8034,positive,560.3584,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,3 (acetyloxy) 16 hydroxy 21 23 dioxolanosta 7 24 dien 28 oic acid
pos8036,positive,335.2419,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,Undecyl glucoside
pos8037,positive,283.1753,Organic oxygen compounds,Ethers,Polyethylene glycols,Fatty acids,Hexagol
pos8042,positive,193.0861,Benzenoids,Methoxyphenols,Methoxyphenols,Shikimates and Phenylpropanoids,dehydrozingerone
pos8045,positive,622.432,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Dammarane and Protostane triterpenoids
pos8049,positive,417.1656,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,2 (4 methyl 2 oxochromen 7 yl)oxy N (3 4 5 trimethoxyphenyl)acetamide
pos8050,positive,441.264,Lipids and lipid like molecules,Steroid lactones,Steroid lactones,Terpenoids,NA
pos8058,positive,447.3699,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Uncertain,Tridecylhexaethoxylate
pos8059,positive,543.3319,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,tert butyl N +AFs-1 +AFs-4 +AFsAWw-1 (4 ethylanilino) 3 methyl 1 oxobutan 2 yl+AF0-carbamoyl+AF0-piperidin 1 yl+AF0- 1 oxo 3 phenylpropan 2 yl+AF0-carbamate
pos8063,positive,268.1905,Organic acids and derivatives,Uncertain,Uncertain,Terpenoids,Eudesmane sesquiterpenoids
pos8067,positive,335.0759,Benzenoids,Diphenylethers,Diphenylethers,Shikimates and Phenylpropanoids,Simple phenolic acids
pos8071,positive,427.2835,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,Methyl 3 7 dihydroxychol 4 en 24 oate
pos8072,positive,378.2844,Lipids and lipid like molecules,Uncertain,Long chain fatty acids,Fatty acids,NA
pos8075,positive,562.3745,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
pos8076,positive,258.0888,Organic acids and derivatives,Carboxylic acid derivatives,Secondary carboxylic acid amides,Alkaloids,NA
pos8080,positive,498.3235,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos8081,positive,792.4928,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,immunomycin
pos8085,positive,463.3196,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos8093,positive,343.2282,Organoheterocyclic compounds,Benzodiazines,Quinazolines,Alkaloids,NA
pos8097,positive,507.3473,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos8100,positive,237.1485,Uncertain,Uncertain,Benzene and substituted derivatives,Terpenoids,1 6 Hexanediol dimethacrylate
pos8101,positive,364.1393,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Polyketides,Flavanones
pos8109,positive,495.3095,Lipids and lipid like molecules,Steroid acids,Steroid acids,Terpenoids,NA
pos8115,positive,375.3106,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,Monoacylglycerols
pos8124,positive,505.3509,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos8126,positive,427.2848,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,Scalarane sesterterpenoids
pos8128,positive,518.3835,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Uncertain,Ursane and Taraxastane triterpenoids
pos813,positive,140.0681,Organic acids and derivatives,Amino acids peptides and analogues,Beta amino acids and derivatives,Fatty acids,4 methylaminobutyric acid
pos8138,positive,247.1325,Lipids and lipid like molecules,Terpene lactones,Terpene lactones,Terpenoids,Lactarane sesquiterpenoids
pos8145,positive,277.1436,Benzenoids,Anisoles,Anisoles,Polyketides,NA
pos8152,positive,409.2741,Lipids and lipid like molecules,Steroid lactones,Steroid lactones,Terpenoids,(4aR 4bR 6aR 11aR 11bS 13aR) 1 1 4a 6a 9 11b hexamethyl 3 4 4b 5 6 11 11a 12 13 13a decahydroindeno+AFs-2 1 a+AF0-phenanthrene 2 7 10 trione
pos8155,positive,267.1952,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,7 hydroxyhexadecanedioic acid
pos8156,positive,517.3516,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos8159,positive,533.3097,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Bile acids alcohols and derivatives,Polyketides,Cucurbitane triterpenoids
pos817,positive,346.3319,Lipids and lipid like molecules,Uncertain,Phytoceramides,Fatty acids,2 aminoicosane 1 3 4 triol
pos8172,positive,329.3165,Lipids and lipid like molecules,Fatty amides,N acyl amines,Fatty acids,Myristamidopropylamine oxide
pos8174,positive,300.1432,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Amino acids and Peptides,Macrolide lactones
pos8176,positive,313.2368,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,alpha 12 13 DiHODE
pos8179,positive,434.1087,Organic oxygen compounds,Uncertain,Glycosyl compounds,Alkaloids,NA
pos818,positive,333.0966,Organic oxygen compounds,Carbonyl compounds,Aryl phenylketones,Polyketides,sulochrin
pos8181,positive,511.3418,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos8182,positive,527.3362,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos8187,positive,545.3466,Lipids and lipid like molecules,Cucurbitacins,Cucurbitacins,Terpenoids,Cucurbitane triterpenoids
pos819,positive,465.2078,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides,Amino acids and Peptides,N +AFs-(2S 3R 4R 5S 6R) 2 +AFs-(2R 3S 4R 5R 6R) 5 acetamido 4 hydroxy 2 (hydroxymethyl) 6 +AFs-(2R) 2 hydroxypropoxy+AF0-oxan 3 yl+AF0-oxy 4 5 dihydroxy 6 (hydroxymethyl)oxan 3 yl+AF0-acetamide
pos8192,positive,608.4166,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Colensane and Clerodane diterpenoids
pos8195,positive,357.061,Phenylpropanoids and polyketides,Flavones,Flavones,Shikimates and Phenylpropanoids,NA
pos8196,positive,479.316,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
pos8203,positive,441.3381,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Abeolupane triterpenoids
pos8204,positive,457.2584,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Polyketides,NA
pos8205,positive,516.3686,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,23 Beta Acetoxymoronic Acid
pos8206,positive,523.3041,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
pos8209,positive,457.2582,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Bile acids alcohols and derivatives,Terpenoids,NA
pos8212,positive,403.15,Benzenoids,Anisoles,Anisoles,Polyketides,2 (2 oxochromen 7 yl)oxy N (3 4 5 trimethoxyphenyl)acetamide
pos8214,positive,168.0637,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids peptides and analogues,Amino acids and Peptides,Dicarboxylic acids
pos8219,positive,285.169,Organic acids and derivatives,Uncertain,Hydroxy acids and derivatives,Terpenoids,NA
pos8222,positive,327.253,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,9R 9 hydroxynonadecanedioic acid
pos8225,positive,479.3148,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos8226,positive,237.1482,Organic oxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Terpenoids,Cadinane sesquiterpenoids
pos8228,positive,339.2893,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Terpenoids,Monoacylglycerols
pos8236,positive,527.3354,Lipids and lipid like molecules,Cucurbitacins,Cucurbitacins,Terpenoids,NA
pos824,positive,156.0421,Organic nitrogen compounds,Quaternary ammonium salts,Tetraalkylammonium salts,Fatty acids,Abromine
pos8241,positive,300.1433,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Polyketides,2 Methyl 2 (((1 oxoallyl)oxy)methyl)propane 1 3 diyl diacrylate
pos8245,positive,191.139,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,NA
pos8250,positive,283.1173,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Terpenoids,ACMC 20ajjt
pos8254,positive,421.316,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Uncertain,Monoacylglycerols
pos8255,positive,268.1533,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Alkaloids,NA
pos826,positive,319.0808,Organoheterocyclic compounds,Uncertain,Chromones,Polyketides,Benzophenones
pos8260,positive,545.3465,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cucurbitane triterpenoids
pos8263,positive,347.1123,Benzenoids,Methoxyphenols,Methoxyphenols,Shikimates and Phenylpropanoids,NA
pos8270,positive,225.1119,Lipids and lipid like molecules,Fatty acids and conjugates,Medium chain fatty acids,Fatty acids,NA
pos8277,positive,193.0857,Organoheterocyclic compounds,2 benzopyrans,2 benzopyrans,Shikimates and Phenylpropanoids,1 3 acetyl 4 methoxyphenylethanone
pos8280,positive,557.1788,Benzenoids,Uncertain,Uncertain,Uncertain,NA
pos8283,positive,183.0652,Benzenoids,Benzoyl derivatives,Benzoyl derivatives,Shikimates and Phenylpropanoids,1 4 Benzenedicarboxaldehyde 2 hydroxy 
pos8284,positive,328.2328,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acid amides,Amino acids and Peptides,6 amino 2 +AFsAWw-6 amino 2 (2 aminopropanoylamino)hexanoyl+AF0-amino+AF0-hexanoic acid
pos8286,positive,757.4914,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Cycloartane triterpenoids
pos8288,positive,319.2269,Lipids and lipid like molecules,Fatty acids and conjugates,Hydroxy fatty acids,Terpenoids,Pimarane and Isopimarane diterpenoids
pos8290,positive,532.3898,Organic acids and derivatives,Amino acids peptides and analogues,Phenylalanine and derivatives,Amino acids and Peptides,NA
pos8292,positive,418.2965,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Glycinated bile acids and derivatives,Terpenoids,Beyerane diterpenoids
pos8294,positive,454.5,Lipids and lipid like molecules,Uncertain,Uncertain,Fatty acids,1 Decanamine N N didecyl N oxide
pos8295,positive,404.1342,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Amino acids and Peptides,Anthraquinones and anthrones
pos830,positive,301.2167,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Pimarane and Isopimarane diterpenoids
pos8304,positive,249.1483,Benzenoids,Uncertain,Benzene and substituted derivatives,Uncertain,NA
pos8305,positive,277.1797,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Podocarpane diterpenoids
pos8306,positive,431.2898,Organic acids and derivatives,Amino acids peptides and analogues,Phenylalanine and derivatives,Amino acids and Peptides,3 +AFs-(E) 2 cyano 3 phenylprop 2 enoyl+AF0-oxybutan 2 yl undecanoate
pos8309,positive,350.2696,Organic acids and derivatives,Uncertain,Uncertain,Terpenoids,androstenediol 3+A7I- acetate
pos8311,positive,179.0705,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acid esters,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
pos8316,positive,384.3844,Lipids and lipid like molecules,Fatty amides,N acyl amines,Fatty acids,15 tetracosenoic acid
pos8318,positive,243.2107,Lipids and lipid like molecules,Uncertain,Straight chain fatty acids,Terpenoids,+A7E- linolenic acid
pos8319,positive,573.4677,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos832,positive,147.1127,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Uncertain,(4S) 4 6 diaminohexanoic acid
pos8321,positive,373.2744,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Cholane steroids
pos8323,positive,324.1511,Organic nitrogen compounds,Amines,Uncertain,Alkaloids,NA
pos8325,positive,401.343,Lipids and lipid like molecules,Fatty acids and conjugates,Thia fatty acids,Fatty acids,3 sulfanylhexyl octadecanoate
pos8329,positive,249.1483,Benzenoids,Benzyl alcohols,Benzyl alcohols,Polyketides,Ivambrin
pos8330,positive,251.2007,Organoheterocyclic compounds,Delta valerolactones,Delta valerolactones,Terpenoids,sclareolide
pos8340,positive,607.4205,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Uncertain,Oleanane triterpenoids
pos8348,positive,315.2337,Lipids and lipid like molecules,Uncertain,Uncertain,Fatty acids,Isoprostanes
pos8349,positive,301.1067,Benzenoids,Uncertain,Phenol ethers,Shikimates and Phenylpropanoids,NA
pos835,positive,761.4865,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Fatty acids,Hexanoic acid 2 ethyl 41 hydroxy 3 6 9 12 15 18 21 24 27 30 33 36 39 tridecaoxahentetracont 1 yl ester
pos8353,positive,425.3061,Lipids and lipid like molecules,Oxosteroids,Oxosteroids,Terpenoids,Ecdysteroids
pos8355,positive,181.1222,Organic acids and derivatives,Uncertain,Carboxylic acid esters,Terpenoids,NA
pos8359,positive,213.1485,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,methyl 3 oxo 2 pentylcyclopentane 1 carboxylate
pos836,positive,318.3003,Organic nitrogen compounds,Amines,1 3 aminoalcohols,Fatty acids,phytosphingosine
pos8362,positive,301.1799,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Oprea1 349542
pos8363,positive,209.0806,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,3 5 Dimethoxycinnamic acid
pos8365,positive,191.9781,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,2 (2 amino 2 oxoethyl)sulfanylcarbothioyloxyacetic acid
pos8366,positive,573.4675,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
pos8368,positive,472.3801,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
pos837,positive,317.2109,Lipids and lipid like molecules,Diterpenoids,Colensane and clerodane diterpenoids,Terpenoids,Colensane and Clerodane diterpenoids
pos8371,positive,317.2129,Organoheterocyclic compounds,Benzodiazines,Quinazolines,Alkaloids,NA
pos838,positive,257.2268,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,5+A7E- androstane 3+A7E- 17+A7I- diol
pos8383,positive,239.1275,Organic oxygen compounds,Alcohols and polyols,Secondary alcohols,Fatty acids,NA
pos8386,positive,296.135,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides,Carbohydrates,NA
pos8389,positive,140.0708,Organoheterocyclic compounds,Uncertain,Heteroaromatic compounds,Alkaloids,salicylaldehyde
pos8391,positive,392.192,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,Polyamines
pos8393,positive,445.3309,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ergostane steroids
pos8396,positive,254.1599,Organic oxygen compounds,Alcohols and polyols,Secondary alcohols,Alkaloids,NA
pos8408,positive,435.3609,Lipids and lipid like molecules,Cholestane steroids,Cholesterols and derivatives,Uncertain,NA
pos8414,positive,315.234,Organic oxygen compounds,Alcohols and polyols,Primary alcohols,Fatty acids,(E) octadec 9 ene 1 sulfonic Acid
pos8415,positive,344.3164,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Fatty acids,Fatty alcohols
pos8416,positive,282.1694,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,2 hydroxy 5 +AFs-(5 hydroxy 3 oxodecan 2 yl)amino+AF0- 5 oxopentanoic acid
pos8418,positive,294.2061,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,Oprea1 813490
pos842,positive,204.1231,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Fatty acids,Branigen
pos8421,positive,485.326,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
pos8423,positive,387.311,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,Hydroxy fatty acids
pos8431,positive,391.1381,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
