"";"domain";"phylum";"class";"order";"family";"genus";"species";"Taxonomy";"taxon";"guid";"mbNumber";"taxonomicLevel";"trophicMode";"guild";"confidenceRanking";"growthForm";"trait";"notes";"citationSource"
"ASV460";NA;"Basidiomycota";"Agaricomycetes";"Boletales";"Coniophoraceae";"Coniophora";"Coniophora_puteana";"NA;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;Coniophora_puteana";"Coniophoraceae";"1CB1CCF5-36B9-11D5-9548-00D0592D548C";"80632";"9";"Pathotroph-Saprotroph";"Lichen Parasite-Wood Saprotroph";"Probable";"Corticioid-Microfungus";"Brown Rot";"Saprobic on wood, soil, etc., some species cause damage to living trees through heart-wood rot (and wooden parts of building - see Serpula), one species is lichenicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV466";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV471";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"Cladosporium_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_sp";"Cladosporiaceae";"6EDCD6E4-DE4D-443D-AF6B-A572F626BD45";"816548";"9";"Pathotroph-Saprotroph-Symbiotroph";"Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"ASV472";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Cladophialophora";"Cladophialophora_sp";"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_sp";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV473";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiales_fam_Incertae_sedis";"Capnodiales_gen_Incertae_sedis";"Capnodiales_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Capnodiales_fam_Incertae_sedis;Capnodiales_gen_Incertae_sedis;Capnodiales_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV474";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiales_fam_Incertae_sedis";"Capnodiales_gen_Incertae_sedis";"Capnodiales_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Capnodiales_fam_Incertae_sedis;Capnodiales_gen_Incertae_sedis;Capnodiales_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV482";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellales_fam_Incertae_sedis";"Tremellales_gen_Incertae_sedis";"Tremellales_sp";"NA;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_Incertae_sedis;Tremellales_gen_Incertae_sedis;Tremellales_sp";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV485";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";NA;NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV487";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_sp";"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_sp";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV489";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV492";NA;"Fungi_phy_Incertae_sedis";"Fungi_cls_Incertae_sedis";"Fungi_ord_Incertae_sedis";"Fungi_fam_Incertae_sedis";"Fungi_gen_Incertae_sedis";"Fungi_sp";"NA;Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis;Fungi_ord_Incertae_sedis;Fungi_fam_Incertae_sedis;Fungi_gen_Incertae_sedis;Fungi_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV501";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";NA;NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;NA;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV504";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreales_fam_Incertae_sedis";"Sarocladium";"Sarocladium_dejongiae";"NA;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;Sarocladium_dejongiae";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV508";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiales_fam_Incertae_sedis";"Capnodiales_gen_Incertae_sedis";"Capnodiales_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Capnodiales_fam_Incertae_sedis;Capnodiales_gen_Incertae_sedis;Capnodiales_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV510";NA;"Basidiomycota";NA;NA;NA;NA;NA;"NA;Basidiomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV511";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV520";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV521";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_chrysocephala";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_chrysocephala";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV522";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV523";NA;"Ascomycota";"Eurotiomycetes";"Sclerococcales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Sclerococcales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV526";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";"Phialocephala";NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Phialocephala;NA";"Phialocephala";"1CB19925-36B9-11D5-9548-00D0592D548C";"9336";"13";"Saprotroph-Symbiotroph";"Endophyte-|Undefined Saprotroph|";"Highly Probable";"Microfungus";"NULL";"As root_endophyte (Põlme et al. 2020); As root_endophyte_dark_septate (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots.; Decay roots, soil (Põlme et al. 2020)";"Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as dark septate root endophytes); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV527";NA;"Ascomycota";"Lecanoromycetes";"Ostropales";NA;NA;NA;"NA;Ascomycota;Lecanoromycetes;Ostropales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV529";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV534";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV538";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV540";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Simplicillium";NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Simplicillium;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV544";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV545";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";NA;NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV546";NA;"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Schizoporaceae";"Xylodon";"Xylodon_sp";"NA;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Xylodon;Xylodon_sp";"Schizoporaceae";"1CB1CDC9-36B9-11D5-9548-00D0592D548C";"80038";"9";"Saprotroph";"Wood Saprotroph";"Probable";"Corticioid";"White Rot";"Saprobic, causing white rot of standing and fallen wood of coniferous and broadleaved trees, rarely on herbaceous stems (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV548";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellales_fam_Incertae_sedis";"Tremellales_gen_Incertae_sedis";"Tremellales_sp";"NA;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_Incertae_sedis;Tremellales_gen_Incertae_sedis;Tremellales_sp";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV556";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;NA;NA";"Ophiocordycipitaceae";"118FAE1B-EB93-4474-A604-F47BB984C8D1";"504190";"9";"Pathotroph-Symbiotroph";"Endophyte-Insect Pathogen";"Probable";"Microfungus";"NULL";"A family of parasitic fungi (Sung et al. 2007)";"Sung GH, et al. 2007. Studies in Mycology 57:5-59 ((https://doi.org/10.3114/sim.2007.57.01)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))"
"ASV560";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Chaenothecopsis";"Chaenothecopsis_pusiola";"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Chaenothecopsis;Chaenothecopsis_pusiola";"Chaenothecopsis pusiola";"0FE6486F-C266-4220-B77E-1C57C81E0CA5";"382508";"20";"Pathotroph";"Lichen Parasite";"Highly Probable";"Microfungus";"NULL";"Lichen parasite on Chaenotheca or saprophytic";"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
"ASV563";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV567";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;NA;NA";"Ophiocordycipitaceae";"118FAE1B-EB93-4474-A604-F47BB984C8D1";"504190";"9";"Pathotroph-Symbiotroph";"Endophyte-Insect Pathogen";"Probable";"Microfungus";"NULL";"A family of parasitic fungi (Sung et al. 2007)";"Sung GH, et al. 2007. Studies in Mycology 57:5-59 ((https://doi.org/10.3114/sim.2007.57.01)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))"
"ASV569";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV577";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;NA;NA";"Nectriaceae";"1CB1CD7A-36B9-11D5-9548-00D0592D548C";"81059";"9";"Pathotroph-Saprotroph-Symbiotroph";"Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph";"Possible";"Microfungus";"NULL";"Fusarium species are amongst the economically significant plant pathogens (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Hirooka Y, et al. 2012. Studies in Mycology 711-210 ((https://doi.org/10.3114/sim0001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))"
"ASV584";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreaceae";NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;NA;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV586";NA;"Ascomycota";"Dothideomycetes";"Dothideomycetes_ord_Incertae_sedis";"Dothideomycetes_fam_Incertae_sedis";"Dothideomycetes_gen_Incertae_sedis";"Dothideomycetes_sp";"NA;Ascomycota;Dothideomycetes;Dothideomycetes_ord_Incertae_sedis;Dothideomycetes_fam_Incertae_sedis;Dothideomycetes_gen_Incertae_sedis;Dothideomycetes_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV591";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";NA;NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV594";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV595";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV607";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"Cladosporium_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_sp";"Cladosporiaceae";"6EDCD6E4-DE4D-443D-AF6B-A572F626BD45";"816548";"9";"Pathotroph-Saprotroph-Symbiotroph";"Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"ASV616";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Chaenothecopsis";"Chaenothecopsis_pusiola";"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Chaenothecopsis;Chaenothecopsis_pusiola";"Chaenothecopsis pusiola";"0FE6486F-C266-4220-B77E-1C57C81E0CA5";"382508";"20";"Pathotroph";"Lichen Parasite";"Highly Probable";"Microfungus";"NULL";"Lichen parasite on Chaenotheca or saprophytic";"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
"ASV617";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV620";NA;"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Trichomonascaceae";"Blastobotrys";"Blastobotrys_niveus";"NA;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Blastobotrys;Blastobotrys_niveus";"Saccharomycetales";"B73A15F4-AB90-4E11-B6D7-E0BE710B986C";"816369";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Yeast";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV623";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";NA;NA;NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV628";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Simplicillium";"Simplicillium_lamellicola";"NA;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Simplicillium;Simplicillium_lamellicola";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV632";NA;"Basidiomycota";"Malasseziomycetes";"Malasseziales";"Malasseziaceae";"Malassezia";"Malassezia_restricta";"NA;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia_restricta";"Malassezia restricta";"0ED4066F-EEFE-46DE-95EC-94452E61766B";"437921";"20";"Pathotroph";"Animal Pathogen";"Probable";"NULL";"NULL";"Opportunistic human pathogen";"https://www.cdc.gov ((https://www.cdc.gov))"
"ASV644";NA;"Ascomycota";"Eurotiomycetes";"Sclerococcales";"Dactylosporaceae";"Dactylospora";"Dactylospora_sp";"NA;Ascomycota;Eurotiomycetes;Sclerococcales;Dactylosporaceae;Dactylospora;Dactylospora_sp";"Dactylospora";"1CB1C5D9-36B9-11D5-9548-00D0592D548C";"1406";"13";"Pathotroph-Saprotroph";"|Lichen Parasite|-Undefined Saprotroph";"Possible";"Microfungus";"NULL";"Decay fungal material, algal material (Põlme et al. 2020); lichenicolous; Some species are non";"Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV647";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV649";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";NA;NA;"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;NA;NA";"Teratosphaeriaceae";"87A3FDCC-E75C-4F2E-B987-C7579847CE32";"504465";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Probable";"NULL";"NULL";"Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)";"Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))"
"ASV653";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV655";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";NA;NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV656";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV657";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Carcinomycetaceae";"Carcinomycetaceae_gen_Incertae_sedis";"Carcinomycetaceae_sp";"NA;Basidiomycota;Tremellomycetes;Tremellales;Carcinomycetaceae;Carcinomycetaceae_gen_Incertae_sedis;Carcinomycetaceae_sp";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
